Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	IDHmut_4 Spectral Count	IDHmut_5 Spectral Count	IDHmut_6 Spectral Count	IDHwt_1 Spectral Count	IDHwt_2 Spectral Count	IDHwt_3 Spectral Count	IDHmut_4 Unique Spectral Count	IDHmut_5 Unique Spectral Count	IDHmut_6 Unique Spectral Count	IDHwt_1 Unique Spectral Count	IDHwt_2 Unique Spectral Count	IDHwt_3 Unique Spectral Count	IDHmut_4 Total Spectral Count	IDHmut_5 Total Spectral Count	IDHmut_6 Total Spectral Count	IDHwt_1 Total Spectral Count	IDHwt_2 Total Spectral Count	IDHwt_3 Total Spectral Count	IDHmut_4 Intensity	IDHmut_5 Intensity	IDHmut_6 Intensity	IDHwt_1 Intensity	IDHwt_2 Intensity	IDHwt_3 Intensity	IDHmut_4 MaxLFQ Intensity	IDHmut_5 MaxLFQ Intensity	IDHmut_6 MaxLFQ Intensity	IDHwt_1 MaxLFQ Intensity	IDHwt_2 MaxLFQ Intensity	IDHwt_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P48723|HSP13_HUMAN	P48723	HSP13_HUMAN	HSPA13	471	Homo sapiens	1:Experimental evidence at protein level	Heat shock 70 kDa protein 13	1.0	0.999	10	32	32	32	5	5	3	5	9	5	5	5	3	5	9	5	5	5	3	5	9	5	3.04154624E8	3.94683424E8	2.27819664E8	2.98070592E8	6.5263488E8	3.89289856E8	9.795888E7	1.437836E8	9.8485536E7	1.53658032E8	1.4567272E8	1.24739184E8	
sp|P48729|KC1A_HUMAN	P48729	KC1A_HUMAN	CSNK1A1	337	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform alpha	1.0	0.999	11	35	25	35	4	6	5	5	11	4	3	5	3	4	7	3	4	6	5	5	11	4	6.0926756E7	2.68777472E8	2.20730432E8	4.635736E8	3.19810304E8	1.4328904E7	5.3734628E7	9.4676416E7	7.6624552E7	8.4677304E7	8.5864776E7	6.8396256E7	
sp|P48730|KC1D_HUMAN	P48730	KC1D_HUMAN	CSNK1D	415	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform delta	1.0	0.999	11	24	8	24	10	3	3	2	6	0	4	1	1	0	2	0	10	3	3	2	6	0	2.36423056E8	1.7206464E8	9.6851456E7	3.4345404E7	1.81297984E8	0.0	3.5494812E7	1.0118584E8	1.1605804E8	5.6827932E7	5.1984372E7	0.0	
sp|P48735|IDHP_HUMAN	P48735	IDHP_HUMAN	IDH2	452	Homo sapiens	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NADP], mitochondrial	1.0	0.999	40	310	306	310	67	60	72	35	32	44	66	60	72	34	31	43	67	60	72	35	32	44	2.46127288E10	2.38537626E10	3.3080404E10	1.15781192E10	1.51492014E10	1.60238838E10	2.91040845E9	3.00498227E9	4.01179802E9	1.61967002E9	1.85571725E9	1.86146138E9	
sp|P48739|PIPNB_HUMAN	P48739	PIPNB_HUMAN	PITPNB	271	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol transfer protein beta isoform	1.0	0.999	14	39	39	62	8	8	5	9	6	3	8	8	5	9	6	3	11	12	9	17	7	6	6.289641E8	1.32879501E9	3.19982336E8	1.09890432E9	4.71622272E8	3.33670304E8	2.74183264E8	2.16195136E8	1.76311904E8	2.57554832E8	2.73581664E8	2.54575104E8	
sp|P48740|MASP1_HUMAN	P48740	MASP1_HUMAN	MASP1	699	Homo sapiens	1:Experimental evidence at protein level	Mannan-binding lectin serine protease 1	0.9776	0.999	1	4	4	4	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	8.870724E7	7.9441096E7	0.0	0.0	1.2137026E7	3.7910324E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P48751|B3A3_HUMAN	P48751	B3A3_HUMAN	SLC4A3	1232	Homo sapiens	1:Experimental evidence at protein level	Anion exchange protein 3	1.0	0.999	4	6	2	6	0	1	1	3	0	1	0	1	0	1	0	0	0	1	1	3	0	1	0.0	1.4173864E7	1.6981862E7	3.4218596E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P48960|AGRE5_HUMAN	P48960	AGRE5_HUMAN	ADGRE5	835	Homo sapiens	1:Experimental evidence at protein level	Adhesion	1.0	0.999	6	14	14	14	0	0	0	4	3	7	0	0	0	4	3	7	0	0	0	4	3	7	0.0	0.0	0.0	1.48212704E8	4.6147516E7	3.14360896E8	0.0	0.0	0.0	5.6232016E7	5.0286948E7	7.1011008E7	
sp|P49006|MRP_HUMAN	P49006	MRP_HUMAN	MARCKSL1	195	Homo sapiens	1:Experimental evidence at protein level	MARCKS-related protein	1.0	0.999	7	43	43	43	7	10	10	5	7	4	7	10	10	5	7	4	7	10	10	5	7	4	2.07060006E9	2.47679718E9	2.56855219E9	8.047712E8	3.94865818E9	9.4062976E8	1.43563034E9	1.28093325E9	1.36788403E9	5.5082022E8	1.94396198E9	5.03583072E8	
sp|P49023|PAXI_HUMAN	P49023	PAXI_HUMAN	PXN	591	Homo sapiens	1:Experimental evidence at protein level	Paxillin	1.0	0.999	13	31	31	31	3	4	1	11	3	9	3	4	1	11	3	9	3	4	1	11	3	9	9.6838192E7	7.712324E7	3.0101654E7	3.6850784E8	1.77764544E8	6.3150579E8	7.4420488E7	3.4782504E7	0.0	1.07895368E8	8.9930048E7	1.29098016E8	
sp|P49069|CAMLG_HUMAN	P49069	CAMLG_HUMAN	CAMLG	296	Homo sapiens	1:Experimental evidence at protein level	Guided entry of tail-anchored proteins factor CAMLG	1.0	0.999	7	20	20	20	5	5	4	2	4	0	5	5	4	2	4	0	5	5	4	2	4	0	3.42598048E8	1.46523872E8	1.41896928E8	1.1616858E7	1.47259456E8	0.0	1.0161984E8	1.15982248E8	9.0808216E7	0.0	9.4216808E7	0.0	
sp|P49137|MAPK2_HUMAN	P49137	MAPK2_HUMAN	MAPKAPK2	400	Homo sapiens	1:Experimental evidence at protein level	MAP kinase-activated protein kinase 2	1.0	0.999	9	23	13	23	1	5	0	6	6	5	1	2	0	4	3	3	1	5	0	6	6	5	6.328502E7	1.4785136E8	0.0	2.8753968E8	3.27777376E8	2.30998112E8	0.0	4.7844052E7	0.0	1.2421272E8	9.493956E7	1.18724488E8	
sp|P49189|AL9A1_HUMAN	P49189	AL9A1_HUMAN	ALDH9A1	494	Homo sapiens	1:Experimental evidence at protein level	4-trimethylaminobutyraldehyde dehydrogenase	1.0	0.999	28	188	188	188	42	30	45	21	23	27	42	30	45	21	23	27	42	30	45	21	23	27	1.57104701E10	9.1613071E9	1.52719063E10	8.9919109E9	7.2282778E9	7.3312676E9	2.60066074E9	1.73516211E9	2.30466637E9	1.58726259E9	1.30856922E9	1.54458637E9	
sp|P49207|RL34_HUMAN	P49207	RL34_HUMAN	RPL34	117	Homo sapiens	1:Experimental evidence at protein level	60S ribosomal protein L34	1.0	0.999	7	27	27	27	2	6	5	4	5	5	2	6	5	4	5	5	2	6	5	4	5	5	2.96839104E8	9.086631E8	2.10333472E8	1.23972429E9	1.19905318E9	1.90242867E9	3.55052032E8	3.6186256E8	2.46446112E8	9.8946566E8	9.0188653E8	8.2549568E8	
sp|P49247|RPIA_HUMAN	P49247	RPIA_HUMAN	RPIA	311	Homo sapiens	1:Experimental evidence at protein level	Ribose-5-phosphate isomerase	1.0	0.999	5	17	17	17	1	2	2	5	6	1	1	2	2	5	6	1	1	2	2	5	6	1	4.437884E7	7.1889136E7	8.9711784E7	2.40946336E8	1.87636224E8	7.9773352E7	0.0	4.5770908E7	5.5556072E7	7.4261384E7	9.1514592E7	0.0	
sp|P49257|LMAN1_HUMAN	P49257	LMAN1_HUMAN	LMAN1	510	Homo sapiens	1:Experimental evidence at protein level	Protein	1.0	0.999	13	54	54	54	3	7	1	20	13	10	3	7	1	20	13	10	3	7	1	20	13	10	3.09324864E8	4.28879264E8	2.0576888E8	3.62365107E9	1.95042509E9	1.8245271E9	1.5120504E8	1.7352304E8	0.0	9.2215552E8	4.50357632E8	5.34372352E8	
sp|P49321|NASP_HUMAN	P49321	NASP_HUMAN	NASP	788	Homo sapiens	1:Experimental evidence at protein level	Nuclear autoantigenic sperm protein	1.0	0.999	20	41	41	41	4	9	0	11	12	5	4	9	0	11	12	5	4	9	0	11	12	5	3.45877376E8	2.93162688E8	0.0	8.0198336E8	1.58033101E9	3.21230944E8	1.08757176E8	1.6197384E8	0.0	2.24966688E8	2.57572784E8	1.25667272E8	
sp|P49327|FAS_HUMAN	P49327	FAS_HUMAN	FASN	2511	Homo sapiens	1:Experimental evidence at protein level	Fatty acid synthase	1.0	0.999	114	590	586	590	91	121	128	113	88	49	90	121	127	112	88	48	91	121	128	113	88	49	1.22231112E10	1.85959035E10	1.87722568E10	1.93182474E10	1.07229819E10	5.6929935E9	6.7320454E8	8.7081056E8	8.849881E8	8.7045466E8	6.0027962E8	4.48014976E8	
sp|P49354|FNTA_HUMAN	P49354	FNTA_HUMAN	FNTA	379	Homo sapiens	1:Experimental evidence at protein level	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	1.0	0.999	16	64	64	64	13	7	7	16	13	8	13	7	7	16	13	8	13	7	7	16	13	8	7.2952602E8	2.02730256E8	2.91469376E8	1.09345562E9	8.2469862E8	5.8793069E8	1.86335568E8	1.0628996E8	1.28152416E8	2.3417992E8	2.00603552E8	2.23024912E8	
sp|P49356|FNTB_HUMAN	P49356	FNTB_HUMAN	FNTB	437	Homo sapiens	1:Experimental evidence at protein level	Protein farnesyltransferase subunit beta	1.0	0.999	7	18	18	18	3	4	1	3	4	3	3	4	1	3	4	3	3	4	1	3	4	3	3.9640848E7	5.0104408E7	4.2883604E7	1.9472496E8	3.05956224E8	1.30023912E8	0.0	4.7197664E7	0.0	7.9481544E7	8.1314488E7	7.2517848E7	
sp|P49366|DHYS_HUMAN	P49366	DHYS_HUMAN	DHPS	369	Homo sapiens	1:Experimental evidence at protein level	Deoxyhypusine synthase	1.0	0.999	4	8	8	8	0	0	0	0	4	4	0	0	0	0	4	4	0	0	0	0	4	4	0.0	0.0	0.0	0.0	5.5867064E7	1.21619008E8	0.0	0.0	0.0	0.0	5.16054E7	4.7761872E7	
sp|P49368|TCPG_HUMAN	P49368	TCPG_HUMAN	CCT3	545	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit gamma	1.0	0.999	39	282	278	282	41	48	50	48	50	45	40	48	48	47	50	45	41	48	50	48	50	45	9.7204204E9	1.07247882E10	1.120623E10	1.2901332E10	1.18977976E10	1.06657853E10	1.11495232E9	1.25952051E9	1.22143629E9	1.59250611E9	1.58738829E9	1.34751987E9	
sp|P49406|RM19_HUMAN	P49406	RM19_HUMAN	MRPL19	292	Homo sapiens	1:Experimental evidence at protein level	39S ribosomal protein L19, mitochondrial	1.0	0.999	6	19	19	19	3	4	1	3	5	3	3	4	1	3	5	3	3	4	1	3	5	3	1.28340776E8	1.43079776E8	6.4138812E7	1.18296128E8	3.4275264E8	2.5526944E8	8.4845136E7	7.4976104E7	0.0	7.292208E7	8.821728E7	7.7120032E7	
sp|P49407|ARRB1_HUMAN	P49407	ARRB1_HUMAN	ARRB1	418	Homo sapiens	1:Experimental evidence at protein level	Beta-arrestin-1	1.0	0.999	15	49	39	49	7	12	13	8	7	2	6	10	12	4	6	1	7	12	13	8	7	2	7.9191213E8	1.40526835E9	1.39238976E9	7.9172493E8	4.49458816E8	2.56419872E8	3.880064E8	4.24635008E8	4.28383584E8	2.4510304E8	1.65542864E8	1.7407136E8	
sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	455	Homo sapiens	1:Experimental evidence at protein level	Elongation factor Tu, mitochondrial	1.0	0.999	37	305	305	305	62	61	54	40	41	47	62	61	54	40	41	47	62	61	54	40	41	47	2.22250045E10	1.52711588E10	1.46853059E10	1.78910761E10	1.46520975E10	1.94719048E10	2.30594278E9	1.58321382E9	1.59954214E9	1.77848154E9	1.69428365E9	1.65106829E9	
sp|P49418|AMPH_HUMAN	P49418	AMPH_HUMAN	AMPH	695	Homo sapiens	1:Experimental evidence at protein level	Amphiphysin	1.0	0.999	41	194	194	204	50	49	48	28	6	13	50	49	48	28	6	13	51	51	52	29	7	14	8.8127672E9	1.22979052E10	7.0256282E9	3.18735642E9	3.25690848E8	1.1080151E9	1.09433126E9	1.55323379E9	9.4435546E8	5.4449056E8	1.03942888E8	2.39965744E8	
sp|P49419|AL7A1_HUMAN	P49419	AL7A1_HUMAN	ALDH7A1	539	Homo sapiens	1:Experimental evidence at protein level	Alpha-aminoadipic semialdehyde dehydrogenase	1.0	0.999	32	216	216	216	46	31	49	24	40	26	46	31	49	24	40	26	46	31	49	24	40	26	1.10363812E10	8.5593667E9	1.45188854E10	6.8130248E9	1.30332744E10	6.6998354E9	1.43236173E9	1.09998707E9	1.92324339E9	9.1410675E8	1.56725069E9	8.8878829E8	
sp|P49427|UB2R1_HUMAN	P49427	UB2R1_HUMAN	CDC34	236	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme	1.0	0.999	5	15	14	15	1	2	1	2	5	4	1	2	1	2	4	4	1	2	1	2	5	4	2.1824444E7	6.1708656E7	2.3430448E7	5.9235336E7	2.61925648E8	1.1566332E8	0.0	5.4023768E7	0.0	3.7423448E7	7.3250648E7	5.5084312E7	
sp|P49441|INPP_HUMAN	P49441	INPP_HUMAN	INPP1	399	Homo sapiens	1:Experimental evidence at protein level	Inositol polyphosphate 1-phosphatase	1.0	0.999	10	31	31	31	7	4	12	3	2	3	7	4	12	3	2	3	7	4	12	3	2	3	9.764137E8	4.18480064E8	1.44173069E9	3.1229136E7	1.89849584E8	1.28103064E8	3.10829952E8	2.1571528E8	3.34935744E8	4.76892E7	1.07231856E8	0.0	
sp|P49448|DHE4_HUMAN	P49448	DHE4_HUMAN	GLUD2	558	Homo sapiens	1:Experimental evidence at protein level	Glutamate dehydrogenase 2, mitochondrial	1.0	0.9981	40	5	5	405	1	1	3	0	0	0	1	1	3	0	0	0	100	75	143	29	28	30	0.0	7.8167664E7	6.8175128E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49458|SRP09_HUMAN	P49458	SRP09_HUMAN	SRP9	86	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle 9 kDa protein	1.0	0.999	5	22	22	22	3	2	2	3	6	6	3	2	2	3	6	6	3	2	2	3	6	6	3.461312E8	2.30952768E8	3.305648E8	4.02416032E8	7.8689312E8	3.10765408E8	1.42143712E8	0.0	1.31083152E8	3.32769152E8	3.56568832E8	3.2350672E8	
sp|P49585|PCY1A_HUMAN	P49585	PCY1A_HUMAN	PCYT1A	367	Homo sapiens	1:Experimental evidence at protein level	Choline-phosphate cytidylyltransferase A	1.0	0.999	13	30	14	30	5	2	1	10	8	4	2	0	0	6	4	2	5	2	1	10	8	4	6.5835696E7	9.6345997E8	1.2333966E7	6.5904275E8	2.97841728E8	3.0675424E8	1.38303936E8	2.9605248E8	0.0	1.5566712E8	2.01740016E8	1.04666088E8	
sp|P49588|SYAC_HUMAN	P49588	SYAC_HUMAN	AARS1	968	Homo sapiens	1:Experimental evidence at protein level	Alanine--tRNA ligase, cytoplasmic	1.0	0.999	63	378	378	378	71	59	67	62	53	66	71	59	67	62	53	66	71	59	67	62	53	66	1.0121386E10	6.8097695E9	7.9959956E9	7.4642196E9	6.3202575E9	1.03489311E10	9.3792928E8	7.4908736E8	7.6839693E8	7.2737606E8	6.3759462E8	9.3238906E8	
sp|P49589|SYCC_HUMAN	P49589	SYCC_HUMAN	CARS1	748	Homo sapiens	1:Experimental evidence at protein level	Cysteine--tRNA ligase, cytoplasmic	1.0	0.999	31	147	147	147	20	25	28	28	23	23	20	25	28	28	23	23	20	25	28	28	23	23	1.34225075E9	1.89205069E9	1.68144576E9	3.74592998E9	2.51072666E9	2.25817754E9	2.30195248E8	2.4836248E8	2.38479536E8	3.35215008E8	3.17751296E8	3.27113856E8	
sp|P49590|SYHM_HUMAN	P49590	SYHM_HUMAN	HARS2	506	Homo sapiens	1:Experimental evidence at protein level	Histidine--tRNA ligase, mitochondrial	1.0	0.999	10	8	8	31	1	1	0	3	2	1	1	1	0	3	2	1	5	5	2	7	7	5	0.0	1.0487997E7	0.0	1.1470917E7	5.1470368E7	6.006842E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49591|SYSC_HUMAN	P49591	SYSC_HUMAN	SARS1	514	Homo sapiens	1:Experimental evidence at protein level	Serine--tRNA ligase, cytoplasmic	1.0	0.999	25	169	169	169	30	33	22	25	29	30	30	33	22	25	29	30	30	33	22	25	29	30	4.313918E9	3.55526477E9	2.94881408E9	4.28636518E9	4.12617088E9	5.1089213E9	7.5452672E8	6.3003955E8	5.7635277E8	7.9296909E8	6.6955546E8	8.5033075E8	
sp|P49593|PPM1F_HUMAN	P49593	PPM1F_HUMAN	PPM1F	454	Homo sapiens	1:Experimental evidence at protein level	Protein phosphatase 1F	1.0	0.999	20	82	82	82	13	13	11	20	15	10	13	13	11	20	15	10	13	13	11	20	15	10	6.8638054E8	5.27980928E8	4.45044512E8	1.2296608E9	6.929015E8	3.65890304E8	1.21552264E8	9.9190256E7	8.5034688E7	1.3390256E8	1.27129704E8	1.27995432E8	
sp|P49619|DGKG_HUMAN	P49619	DGKG_HUMAN	DGKG	791	Homo sapiens	1:Experimental evidence at protein level	Diacylglycerol kinase gamma	1.0	0.999	10	18	18	18	3	10	2	0	1	2	3	10	2	0	1	2	3	10	2	0	1	2	6.1634844E7	3.25157984E8	1.8328402E7	0.0	0.0	2.8134428E7	3.7401084E7	6.0191956E7	0.0	0.0	0.0	0.0	
sp|P49641|MA2A2_HUMAN	P49641	MA2A2_HUMAN	MAN2A2	1150	Homo sapiens	2:Experimental evidence at transcript level	Alpha-mannosidase 2x	0.9607	0.9975	2	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	3.5231392E7	9636819.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49674|KC1E_HUMAN	P49674	KC1E_HUMAN	CSNK1E	416	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform epsilon	1.0	0.999	10	14	14	30	3	3	3	2	1	2	3	3	3	2	1	2	9	5	5	4	5	2	1.48295296E8	2.45053472E8	1.33233512E8	3.737768E7	2.3183604E7	3.4076404E7	5.6214784E7	9.067052E7	8.7425024E7	0.0	0.0	0.0	
sp|P49711|CTCF_HUMAN	P49711	CTCF_HUMAN	CTCF	727	Homo sapiens	1:Experimental evidence at protein level	Transcriptional repressor CTCF	1.0	0.999	4	5	4	5	0	0	0	3	0	2	0	0	0	2	0	2	0	0	0	3	0	2	0.0	0.0	0.0	8.2121776E7	0.0	3.0005588E7	0.0	0.0	0.0	3.2144134E7	0.0	3.3710616E7	
sp|P49716|CEBPD_HUMAN	P49716	CEBPD_HUMAN	CEBPD	269	Homo sapiens	1:Experimental evidence at protein level	CCAAT/enhancer-binding protein delta	0.9758	0.9989	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2.932042E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49720|PSB3_HUMAN	P49720	PSB3_HUMAN	PSMB3	205	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit beta type-3	1.0	0.999	10	77	77	77	11	11	14	15	15	11	11	11	14	15	15	11	11	11	14	15	15	11	1.87566144E9	1.5111808E9	1.49344499E9	3.17077939E9	3.64694912E9	2.14039821E9	5.10060704E8	5.3964486E8	3.84439936E8	7.5776922E8	7.2948845E8	6.4763187E8	
sp|P49721|PSB2_HUMAN	P49721	PSB2_HUMAN	PSMB2	201	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit beta type-2	1.0	0.999	15	112	112	112	20	17	14	22	20	19	20	17	14	22	20	19	20	17	14	22	20	19	2.53712486E9	2.35155251E9	2.02712998E9	3.50329523E9	4.21477888E9	3.51233203E9	5.2993552E8	5.3008336E8	4.59618368E8	7.2443462E8	9.4105786E8	6.5098528E8	
sp|P49736|MCM2_HUMAN	P49736	MCM2_HUMAN	MCM2	904	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM2	1.0	0.999	11	17	17	17	0	4	0	6	5	2	0	4	0	6	5	2	0	4	0	6	5	2	0.0	7.38432E7	0.0	1.11089424E8	1.4112608E8	6.3894304E7	0.0	3.6462348E7	0.0	4.2456924E7	8.687936E7	4.3941552E7	
sp|P49748|ACADV_HUMAN	P49748	ACADV_HUMAN	ACADVL	655	Homo sapiens	1:Experimental evidence at protein level	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	1.0	0.999	38	170	170	170	24	26	29	31	32	28	24	26	29	31	32	28	24	26	29	31	32	28	2.74050995E9	4.02194816E9	2.81792051E9	5.0616392E9	6.9621028E9	6.3347236E9	4.78251584E8	5.727831E8	3.99565632E8	6.4631667E8	1.04199808E9	7.6747059E8	
sp|P49750|YLPM1_HUMAN	P49750	YLPM1_HUMAN	YLPM1	2146	Homo sapiens	1:Experimental evidence at protein level	YLP motif-containing protein 1	1.0	0.999	27	62	62	65	11	6	5	14	20	6	11	6	5	14	20	6	11	7	6	15	20	6	1.66730576E8	7.029432E7	1.7277184E8	3.78423872E8	7.8294534E8	1.04375792E8	5.7177528E7	3.6707436E7	7.9487168E7	7.3124752E7	9.0066448E7	4.7658304E7	
sp|P49753|ACOT2_HUMAN	P49753	ACOT2_HUMAN	ACOT2	483	Homo sapiens	1:Experimental evidence at protein level	Acyl-coenzyme A thioesterase 2, mitochondrial	1.0	0.999	24	4	4	107	2	1	1	0	0	0	2	1	1	0	0	0	25	34	11	13	10	14	7.818472E7	3.5376996E7	2.1740798E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49754|VPS41_HUMAN	P49754	VPS41_HUMAN	VPS41	854	Homo sapiens	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 41 homolog	1.0	0.999	9	20	20	20	1	1	2	8	4	4	1	1	2	8	4	4	1	1	2	8	4	4	2.9097574E7	2.6848858E7	3.2014704E7	2.51806704E8	1.43464304E8	1.42536576E8	0.0	0.0	3.3473296E7	4.3151168E7	5.2329052E7	5.0771888E7	
sp|P49755|TMEDA_HUMAN	P49755	TMEDA_HUMAN	TMED10	219	Homo sapiens	1:Experimental evidence at protein level	Transmembrane emp24 domain-containing protein 10	1.0	0.999	11	92	92	92	13	12	7	21	17	22	13	12	7	21	17	22	13	12	7	21	17	22	1.32420928E9	1.26736755E9	8.899337E8	6.0409851E9	4.23540275E9	8.3777454E9	3.20352384E8	3.39109856E8	2.92130144E8	1.41207488E9	1.02312E9	1.92542131E9	
sp|P49756|RBM25_HUMAN	P49756	RBM25_HUMAN	RBM25	843	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 25	1.0	0.999	19	47	47	47	4	6	5	19	8	5	4	6	5	19	8	5	4	6	5	19	8	5	1.33943488E8	3.25042496E8	1.4771792E8	7.8556461E8	6.1289011E8	2.39238096E8	8.3149216E7	1.01105824E8	5.094596E7	1.492028E8	1.63479072E8	1.43001664E8	
sp|P49757|NUMB_HUMAN	P49757	NUMB_HUMAN	NUMB	651	Homo sapiens	1:Experimental evidence at protein level	Protein numb homolog	1.0	0.999	12	20	20	30	5	3	4	5	2	1	5	3	4	5	2	1	8	6	6	6	3	1	1.5847976E8	1.33073896E8	1.45279744E8	1.2542408E8	7.1914736E7	3.5461396E7	5.2344196E7	7.14896E7	5.7602468E7	4.5091824E7	4.54474E7	0.0	
sp|P49758|RGS6_HUMAN	P49758	RGS6_HUMAN	RGS6	472	Homo sapiens	1:Experimental evidence at protein level	Regulator of	1.0	0.999	12	18	18	26	5	6	6	1	0	0	5	6	6	1	0	0	6	8	9	3	0	0	3.43246432E8	1.90191856E8	4.15628672E8	1.3034386E7	0.0	0.0	1.30097952E8	1.01376544E8	1.22289352E8	0.0	0.0	0.0	
sp|P49768|PSN1_HUMAN	P49768	PSN1_HUMAN	PSEN1	467	Homo sapiens	1:Experimental evidence at protein level	Presenilin-1	1.0	0.999	4	10	4	10	1	1	2	3	2	1	1	0	1	2	0	0	1	1	2	3	2	1	2.8088788E7	1.866366E7	5.1073624E7	5.1026112E7	1.40875232E8	2.5444858E7	0.0	0.0	4.2543832E7	4.2441412E7	6.7410192E7	0.0	
sp|P49770|EI2BB_HUMAN	P49770	EI2BB_HUMAN	EIF2B2	351	Homo sapiens	1:Experimental evidence at protein level	Translation initiation factor eIF-2B subunit beta	1.0	0.999	12	36	36	36	5	5	3	9	8	6	5	5	3	9	8	6	5	5	3	9	8	6	1.89576144E8	1.11338784E8	1.114094E8	5.6043046E8	2.91193376E8	2.84631936E8	6.4227356E7	8.3152744E7	5.5056204E7	1.12970424E8	1.00524632E8	1.05624152E8	
sp|P49773|HINT1_HUMAN	P49773	HINT1_HUMAN	HINT1	126	Homo sapiens	1:Experimental evidence at protein level	Adenosine 5'-monophosphoramidase HINT1	1.0	0.999	13	122	122	122	25	22	18	24	14	19	25	22	18	24	14	19	25	22	18	24	14	19	8.1986028E9	5.8830106E9	5.564098E9	6.5574098E9	4.10085888E9	7.0181422E9	2.89757261E9	2.57421542E9	1.9932448E9	2.19829862E9	1.52773965E9	2.24985882E9	
sp|P49789|FHIT_HUMAN	P49789	FHIT_HUMAN	FHIT	147	Homo sapiens	1:Experimental evidence at protein level	Bis(5'-adenosyl)-triphosphatase	1.0	0.999	6	23	23	23	6	6	4	2	5	0	6	6	4	2	5	0	6	6	4	2	5	0	3.83772E8	3.44793952E8	3.2621504E8	3.4320712E7	2.12385296E8	0.0	1.19075832E8	1.14733288E8	1.16452664E8	3.5415344E7	1.03407304E8	0.0	
sp|P49790|NU153_HUMAN	P49790	NU153_HUMAN	NUP153	1475	Homo sapiens	1:Experimental evidence at protein level	Nuclear pore complex protein	1.0	0.999	12	22	22	22	1	2	0	6	7	6	1	2	0	6	7	6	1	2	0	6	7	6	1.9898804E7	0.0	0.0	2.04496576E8	2.42346384E8	1.69968224E8	0.0	0.0	0.0	7.1779368E7	8.5292464E7	6.3154476E7	
sp|P49792|RBP2_HUMAN	P49792	RBP2_HUMAN	RANBP2	3224	Homo sapiens	1:Experimental evidence at protein level	E3	1.0	0.999	55	132	77	132	12	16	8	31	36	29	7	9	3	17	21	20	12	16	8	31	36	29	2.34991328E8	4.5365184E8	1.97463296E8	1.33371456E9	1.8710903E9	1.2009472E9	8.0266736E7	1.00278216E8	6.924588E7	1.5343256E8	2.09025968E8	2.3095856E8	
sp|P49795|RGS19_HUMAN	P49795	RGS19_HUMAN	RGS19	217	Homo sapiens	1:Experimental evidence at protein level	Regulator of	0.9776	0.999	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	6.0556876E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49802|RGS7_HUMAN	P49802	RGS7_HUMAN	RGS7	495	Homo sapiens	1:Experimental evidence at protein level	Regulator of	1.0	0.999	14	24	16	24	5	8	6	3	1	1	4	6	3	1	1	1	5	8	6	3	1	1	4.09527008E8	7.3252282E8	4.08462592E8	1.2134716E8	0.0	8.070456E7	2.68249344E8	3.07600608E8	2.4675544E8	8.9783704E7	0.0	0.0	
